DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2005-0724-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma provinces",,,No,No,Yes,,,Km2,,,,2005,12,27,2006,1,4,5,,,1410,1410,,,,,100000,156024,64.0927402574269,"[{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2007-01-17,2023-09-25
2006-0374-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,USA,United States of America,Northern America,Americas,California province,,,No,No,Yes,,350,Km2,,,,2006,7,9,2006,7,14,1,17,,150,167,,,,,16000,24184,66.1603305617979,"[{""adm1_code"":3218,""adm1_name"":""California""}]",2006-07-20,2023-09-25
2006-0576-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,United States of America,Northern America,Americas,"Riverside, Palm Springs cities (Riverside district, California province), San Diego district (California province)",,,No,No,Yes,,,Km2,,,,2006,10,26,2006,10,27,4,1,,102,103,,,,,25000,37787,66.1603305617979,"[{""adm2_code"":28897,""adm2_name"":""Riverside""},{""adm2_code"":28901,""adm2_name"":""San Diego""}]",2008-03-28,2023-09-25
2006-0662-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,United States of America,Northern America,Americas,Ventura district (California province),,,No,No,Yes,,,Km2,,,,2006,12,3,2006,12,6,,,,15,15,,,,,25000,37787,66.1603305617979,"[{""adm2_code"":28920,""adm2_name"":""Ventura""}]",2008-03-28,2023-09-25
2006-0759-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,East Amarillo Complex Fire,USA,United States of America,Northern America,Americas,Texas,,,No,No,No,,,Km2,,,,2006,3,,2006,3,,12,,,300,300,,,,,150000,226722,66.1603305617979,"[{""adm1_code"":3257,""adm1_name"":""Texas""}]",2024-03-11,2024-04-09
2007-0351-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Alpine, Amador, Calaveras, El Dorado, Mono, Placer, Tuolumne districts (California province)",,,No,No,No,,,Km2,,,,2007,6,24,2007,7,2,,,,768,768,,,150000,220434,,,68.0476738315874,"[{""adm2_code"":28866,""adm2_name"":""Alpine""},{""adm2_code"":28867,""adm2_name"":""Amador""},{""adm2_code"":28869,""adm2_name"":""Calaveras""},{""adm2_code"":28873,""adm2_name"":""El Dorado""},{""adm2_code"":28890,""adm2_name"":""Mono""},{""adm2_code"":28895,""adm2_name"":""Placer""},{""adm2_code"":28919,""adm2_name"":""Tuolumne""}]",2008-10-21,2023-09-25
2007-0519-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,United States of America,Northern America,Americas,"Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, Ventura districts (California province)",,Storm,No,No,Yes,,,Km2,,,,2007,10,21,2007,10,24,8,64,640000,,640064,,,1900000,2792160,2500000,3673895,68.0476738315874,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""},{""adm2_code"":28894,""adm2_name"":""Orange""},{""adm2_code"":28897,""adm2_name"":""Riverside""},{""adm2_code"":28900,""adm2_name"":""San Bernardino""},{""adm2_code"":28901,""adm2_name"":""San Diego""},{""adm2_code"":28906,""adm2_name"":""Santa Barbara""},{""adm2_code"":28920,""adm2_name"":""Ventura""}]",2008-03-12,2023-09-25
2007-0579-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Malibu area (Los Angeles district, California province)",,,No,No,No,,,Km2,,,,2007,11,24,2007,11,27,,,10000,159,10159,,,,,315000,462911,68.0476738315874,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""}]",2008-03-12,2023-09-25
2008-0253-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,California province,"Lightening, drought, wind",,No,No,Yes,,3500,Km2,,,,2008,6,20,2008,7,9,1,,,300,300,,,,,102000,144353,70.6600890345053,"[{""adm1_code"":3218,""adm1_name"":""California""}]",2008-08-12,2023-09-25
2008-0524-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,USA,United States of America,Northern America,Americas,"Los Angeles, Orange, Riverside, Santa Barbara districts (California province)",,,No,No,Yes,,,Km2,,,,2008,11,13,2008,11,18,,20,55000,,55020,,,600000,849136,2000000,2830452,70.6600890345053,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""},{""adm2_code"":28894,""adm2_name"":""Orange""},{""adm2_code"":28897,""adm2_name"":""Riverside""},{""adm2_code"":28906,""adm2_name"":""Santa Barbara""}]",2009-01-14,2023-09-25
2009-0178-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,United States of America,Northern America,Americas,Santa Barbara district (California province),Record temperatures and strong winds,,No,No,No,,,Km2,,,,2009,5,5,2009,5,11,,29,,234,263,,,,,100000,142028,70.4088617569341,"[{""adm2_code"":28906,""adm2_name"":""Santa Barbara""}]",2010-03-07,2023-09-25
2009-0349-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,United States of America,Northern America,Americas,"Los Angeles, Monterey districts (California province)",,,No,No,Yes,,,Km2,,,,2009,7,7,2009,10,27,2,,,192,192,,,,,,,70.4088617569341,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""},{""adm2_code"":28891,""adm2_name"":""Monterey""}]",2010-01-12,2023-09-25
2011-0140-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,United States of America,Northern America,Americas,Texas province,,,No,No,No,,,Km2,,,,2011,4,9,2011,4,30,2,5,,1300,1305,,,,,183000,247891,73.822750859736,"[{""adm1_code"":3257,""adm1_name"":""Texas""}]",2012-01-03,2023-09-25
2011-0349-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Bastrop district (Texas province),"Drought, high temperatures and strong winds",,No,No,No,,,Km2,,,,2011,9,4,2011,9,9,4,,,4800,4800,,,450000,609568,1000000,1354596,73.822750859736,"[{""adm2_code"":31210,""adm2_name"":""Bastrop""}]",2012-04-05,2023-09-25
2011-0630-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,CAN,Canada,Northern America,Americas,"Slave Lake area (Division No. 17 district, Alberta province)","Dry conditions, strong winds",,No,No,No,,,Km2,,,,2011,5,14,2011,5,16,1,,,7000,7000,,,720000,975309,1500000,2031894,73.822750859736,"[{""adm2_code"":12536,""adm2_name"":""Division No. 17""}]",2012-04-05,2023-09-25
2011-0639-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Arizona, Minnesota, Texas, Florida provinces",Drought conditions and strong winds,,No,No,No,,,Km2,,,,2011,5,29,2011,6,23,2,,,,,,,,,200000,270919,73.822750859736,"[{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2012-04-05,2023-09-25
2012-0232-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Waldo Canyon Fire,USA,United States of America,Northern America,Americas,"Colorado Springs city (El Paso district, Colorado province)",,,No,No,Yes,,,Km2,,,,2012,6,23,2012,7,10,2,,,1038,1038,,,450000,597210,600000,796280,75.3503857046957,"[{""adm2_code"":28942,""adm2_name"":""El Paso""}]",2013-01-07,2023-09-25
2012-0542-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,USA,United States of America,Northern America,Americas,"Cleveland, Creek, Oklahoma, Payne districts (Oklahoma province)",,,No,No,No,,,Km2,,,,2012,8,3,2012,8,8,1,,1809,,1809,,,,,200000,265427,75.3503857046957,"[{""adm2_code"":30821,""adm2_name"":""Cleveland""},{""adm2_code"":30826,""adm2_name"":""Creek""},{""adm2_code"":30862,""adm2_name"":""Oklahoma""},{""adm2_code"":30867,""adm2_name"":""Payne""}]",2013-01-31,2023-09-25
2013-0209-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Los Angeles district (California province),"Hot temperatures, gusty winds, dry forest conditions",,No,No,No,,,Km2,,,,2013,5,30,2013,6,8,,8,12,90,110,,,,,21400,27991,76.454145985163,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""}]",2013-11-20,2023-09-25
2013-0210-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Black Forest area (El Paso district, Colorado province)",,,No,No,No,,,Km2,,,,2013,6,6,2013,6,20,2,,84,1533,1617,,,450000,588588,500000,653987,76.454145985163,"[{""adm2_code"":28942,""adm2_name"":""El Paso""}]",2014-03-20,2023-09-25
2013-0212-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Yarnell area (Yavapai district, Arizona province)",,,No,No,No,,,Km2,,,,2013,6,28,2013,7,12,19,,,387,387,,,,,2000,2616,76.454145985163,"[{""adm2_code"":28788,""adm2_name"":""Yavapai""}]",2013-07-16,2023-09-25
2013-0315-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,USA,United States of America,Northern America,Americas,"Yosemite valley (Mariposa district, California province)",,,No,No,Yes,,,Km2,,,,2013,8,3,2013,9,1,,3,,33,36,,,,,175000,228895,76.454145985163,"[{""adm2_code"":28886,""adm2_name"":""Mariposa""}]",2013-09-12,2023-09-25
2013-0404-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,USA,United States of America,Northern America,Americas,Shasta district (California province),,,No,No,No,,,Km2,,,,2013,9,9,2013,9,15,1,6,15,204,225,,,,,10000,13080,76.454145985163,"[{""adm2_code"":28909,""adm2_name"":""Shasta""}]",2013-10-28,2023-09-25
2014-0165-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Hutchinson district (Texas province), San Diego district (California province)","Excessive heat, drougth and winds",,No,No,No,,,Km2,,,,2014,5,11,2014,5,20,2,,429,,429,,,,,100000,128709,77.6944061345599,"[{""adm2_code"":28901,""adm2_name"":""San Diego""},{""adm2_code"":31316,""adm2_name"":""Hutchinson""}]",2014-05-15,2023-09-25
2015-0275-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,CAN,Canada,Northern America,Americas,"Saskatchewan, Alberta, British Columbia provinces","Hot, dry and windy conditions",,No,No,No,,,Km2,,,,2015,7,1,2015,7,10,,,13000,36,13036,,,,,,,77.7865676599233,"[{""adm1_code"":825,""adm1_name"":""Alberta""},{""adm1_code"":826,""adm1_name"":""British Columbia / Colombie-Britannique""},{""adm1_code"":836,""adm1_name"":""Saskatchewan""}]",2015-07-23,2025-03-17
2015-0312-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,USA,United States of America,Northern America,Americas,"Lake, Napa, Solano, Yolo, Modoc, Colusa districts (California province)","Drought conditions, gusty winds, warm temperatures, lightening",,No,No,Yes,,,Km2,,,,2015,7,22,2015,8,13,1,,,129,129,,,,,2000,2571,77.7865676599233,"[{""adm2_code"":28870,""adm2_name"":""Colusa""},{""adm2_code"":28881,""adm2_name"":""Lake""},{""adm2_code"":28889,""adm2_name"":""Modoc""},{""adm2_code"":28892,""adm2_name"":""Napa""},{""adm2_code"":28912,""adm2_name"":""Solano""},{""adm2_code"":28921,""adm2_name"":""Yolo""}]",2015-08-03,2023-09-25
2015-0401-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Valley Fire,USA,United States of America,Northern America,Americas,"California, Idaho, Montana, Oregon, Washington provinces","High temperature, Ligthning",Pollution,No,No,No,,,Km2,,,,2015,8,13,2015,8,31,4,8,600,3900,4508,,,,,150000,192835,77.7865676599233,"[{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3226,""adm1_name"":""Idaho""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3261,""adm1_name"":""Washington""}]",2015-09-04,2023-09-25
2015-0421-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",GLIDE:WF-2015-000125,,USA,United States of America,Northern America,Americas,"Lake, Napa, Sonoma, Butte districts (California province)","High tempertaures, gusty winds, dry soil, vast swathes of dried vegetation and brush",,No,No,Yes,,,Km2,,,,2015,9,13,2015,9,20,4,,,7302,7302,,,960000,1234146,1400000,1799797,77.7865676599233,"[{""adm2_code"":28868,""adm2_name"":""Butte""},{""adm2_code"":28881,""adm2_name"":""Lake""},{""adm2_code"":28892,""adm2_name"":""Napa""},{""adm2_code"":28913,""adm2_name"":""Sonoma""}]",2015-09-28,2025-03-12
2015-0613-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,Butte fire,USA,United States of America,Northern America,Americas,"Amador, Calaveras (California)",,,No,No,No,,,Km2,,,,2015,9,9,2015,9,14,3,,,1425,1425,,,450000,578506,400000,514228,77.7865676599233,"[{""adm2_code"":28867,""adm2_name"":""Amador""},{""adm2_code"":28869,""adm2_name"":""Calaveras""}]",2016-04-07,2023-09-25
2016-0172-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Fort McMurray wildfires,CAN,Canada,Northern America,Americas,"Fort McMurray city (Wood Buffalo area, Division No. 16 district, Alberta province)",,Explosion,Yes,No,No,,6000,Km2,,,,2016,5,1,2016,7,4,,,88000,,88000,,,2900000,3681702,4000000,5078209,78.7679229975209,"[{""adm2_code"":12535,""adm2_name"":""Division No. 16""}]",2016-05-23,2023-09-25
2016-0206-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,California province,"Combination of heat, extented drought and gusty winds",,No,No,Yes,,,Km2,,,,2016,6,25,2016,6,26,,,36,855,891,,,,,150000,190433,78.7679229975209,"[{""adm1_code"":3218,""adm1_name"":""California""}]",2016-07-06,2023-09-25
2016-0264-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Sand Fire,USA,United States of America,Northern America,Americas,"Los Angeles, San Francisco districts (California province)",Drought,,No,No,No,,,Km2,,,,2016,7,24,2016,8,1,2,,420,,420,,,,,50000,63478,78.7679229975209,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""},{""adm2_code"":28902,""adm2_name"":""San Francisco""}]",2016-08-03,2023-09-25
2016-0297-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Clayton Fire,USA,United States of America,Northern America,Americas,"Lower Lake, Clearlake (Lake district, California province)",,,No,No,No,,,Km2,,,,2016,8,13,2016,8,16,,,,567,567,,,,,100000,126955,78.7679229975209,"[{""adm2_code"":28881,""adm2_name"":""Lake""}]",2016-08-16,2023-09-25
2016-0463-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Gatlinburg city (Sevier district, Tennessee province)",,,No,No,No,,,Km2,,,,2016,11,,2016,12,31,14,191,,6383,6574,,,600000,761731,1200000,1523463,78.7679229975209,"[{""adm2_code"":31182,""adm2_name"":""Sevier""}]",2016-12-01,2023-09-25
2017-0252-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,"Wall Fire, Alamo Fire, Whittier Fire",USA,United States of America,Northern America,Americas,"Butte (Oroville), San Luis Obispo, Santa Barbara (California)",Weather,,No,No,Yes,,190,Km2,,,,2017,7,6,2017,7,10,,,9,147,156,,,,,,,80.4457792619455,"[{""adm2_code"":28868,""adm2_name"":""Butte""},{""adm2_code"":28904,""adm2_name"":""San Luis Obispo""},{""adm2_code"":28906,""adm2_name"":""Santa Barbara""}]",2017-07-10,2023-09-25
2017-0271-CAN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,"Gustafsen, Wildwood, Elephant Hill Fires",CAN,Canada,Northern America,Americas,"Cache Creek , Ashcroft, Boston flats (Thompson Nicola), 100 Mile House , Williams Lake (Cariboo) (British Columbia)",Weather,Heat wave,No,Yes,Yes,,500,Km2,,,,2017,7,7,2017,9,15,,,43441,,43441,78000,96960,,,,,80.4457792619455,"[{""adm2_code"":12542,""adm2_name"":""Cariboo""},{""adm2_code"":12566,""adm2_name"":""Thompson-Nicola""}]",2017-07-18,2023-09-25
2017-0434-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",GLIDE:WF-2017-000190,"Tubbs, Atlas, Nuns Fires",USA,United States of America,Northern America,Americas,"Napa, Sonoma, Mendocino, Lake, Solano, Butte, Yuba, Nevada, Humboldt, Calavaras, Orange counties (California)",,,No,No,No,,,Km2,,,,2017,6,1,2017,12,31,43,185,,9000,9185,,,9600000,11933504,13000000,16159953,80.4457792619455,"[{""adm2_code"":28868,""adm2_name"":""Butte""},{""adm2_code"":28869,""adm2_name"":""Calaveras""},{""adm2_code"":28876,""adm2_name"":""Humboldt""},{""adm2_code"":28881,""adm2_name"":""Lake""},{""adm2_code"":28887,""adm2_name"":""Mendocino""},{""adm2_code"":28892,""adm2_name"":""Napa""},{""adm2_code"":28893,""adm2_name"":""Nevada""},{""adm2_code"":28894,""adm2_name"":""Orange""},{""adm2_code"":28912,""adm2_name"":""Solano""},{""adm2_code"":28913,""adm2_name"":""Sonoma""},{""adm2_code"":28922,""adm2_name"":""Yuba""}]",2017-11-06,2025-03-12
2017-0511-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,'Thomas',USA,United States of America,Northern America,Americas,"Ventura, Santa Barbara, Los Angeles, San Diego, Riverside counties (California)","Droght, winds",,No,No,Yes,,1101.5,Km2,,,,2017,12,4,2017,12,31,2,2,,2961,2963,,,1700000,2113225,2200000,2734761,80.4457792619455,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""},{""adm2_code"":28897,""adm2_name"":""Riverside""},{""adm2_code"":28901,""adm2_name"":""San Diego""},{""adm2_code"":28906,""adm2_name"":""Santa Barbara""},{""adm2_code"":28920,""adm2_name"":""Ventura""}]",2017-12-07,2023-09-25
2018-0258-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Carr and Mendocino Complex fires,USA,United States of America,Northern America,Americas,"Shasta, Trinity, Mendocino, Lake, Colusa, and Glenn counties (California)",,Pollution,No,No,No,,,Km2,,,,2018,7,27,2018,8,31,14,,,3237,3237,,,,,1000000,1213435,82.4106679610351,"[{""adm2_code"":28870,""adm2_name"":""Colusa""},{""adm2_code"":28875,""adm2_name"":""Glenn""},{""adm2_code"":28881,""adm2_name"":""Lake""},{""adm2_code"":28887,""adm2_name"":""Mendocino""},{""adm2_code"":28909,""adm2_name"":""Shasta""},{""adm2_code"":28917,""adm2_name"":""Trinity""}]",2018-08-08,2023-09-25
2018-0299-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,CAN,Canada,Northern America,Americas,Colombie-Britannique,,Pollution,No,No,Yes,,,Km2,,,,2018,7,,2018,8,,,,3000,,3000,,,,,,,82.4106679610351,"[{""adm1_code"":826,""adm1_name"":""British Columbia / Colombie-Britannique""}]",2018-08-16,2023-09-25
2018-0409-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Camp Fire,USA,United States of America,Northern America,Americas,Butte county (North California),,,No,No,Yes,,,Km2,,,,2018,6,1,2018,12,31,88,,250000,,250000,,,12500000,15167939,16500000,20021680,82.4106679610351,"[{""adm2_code"":28868,""adm2_name"":""Butte""}]",2018-11-09,2023-09-25
